fecha;fondo;var_fon;peso_fon;n_tickers;momento;Fondo;menos2_5;menos1_5;mas1_5
01-09-2024;ALPHA;-0.0160968586387437;4.73;1;15:23:18;ALPHA;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;BESTIDEAS;0.5312818049276343;100.000000001;25;15:23:18;BESTIDEAS;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;BOLSAESPANA;0.4817159949753033;93.68;32;15:23:18;BOLSAESPANA;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;BOLSAEUROPA;0.0509168854078122;90.14;58;15:23:18;BOLSAEUROPA;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;BOLSAINTERNACIONAL;0.5285444820267708;91.53;75;15:23:18;BOLSAINTERNACIONAL;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;BOLSAUSA;0.958620161694092;96.04;77;15:23:18;BOLSAUSA;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;DIVIDENDO;0.613206293884281;91.88;43;15:23:18;DIVIDENDO;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;FINANCIERO;0.5504278819848059;90.96;35;15:23:18;FINANCIERO;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;GLOBAL;0.5919018976244153;95.18;49;15:23:18;GLOBAL;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;JAPON;0.7357199658260589;93.77;46;15:23:18;JAPON;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;MEGATRENDS;0.5690290203107077;98.76;38;15:23:18;MEGATRENDS;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;NEWENERGY;0.8840044310804459;96.39;38;15:23:18;NEWENERGY;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;SANIDAD;0.6175690868669863;102.47;51;15:23:18;SANIDAD;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;SECTORINMOBILIARIO;0.9854616156479312;94.58;47;15:23:18;SECTORINMOBILIARIO;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;SMALLCAPS;0.3787932061642092;97.02;68;15:23:18;SMALLCAPS;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;TECNOLOGICO;0.9174824517480904;94.93;38;15:23:18;TECNOLOGICO;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;ZVIX;-0.4153354632587861;10.0;1;15:23:18;ZVIX;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;ZVSTOXX;-1.2188658084804664;30.0;3;15:23:18;ZVSTOXX;0.0110192837465564;0.0289256198347107;0.1432506887052341
01-09-2024;ZVXN;-0.626822157434402;10.0;1;15:23:18;ZVXN;0.0110192837465564;0.0289256198347107;0.1432506887052341
